2023-08-10 08:45: attention_dropout: 0.3
2023-08-10 08:45: batch_size: 1
2023-08-10 08:45: cuda: True
2023-08-10 08:45: dataset: 'Computers'
2023-08-10 08:45: debug: False
2023-08-10 08:45: device: 'cuda:3'
2023-08-10 08:45: dropout: 0.5
2023-08-10 08:45: encoder_attention_heads: 8
2023-08-10 08:45: encoder_embed_dim: 128
2023-08-10 08:45: encoder_ffn_embed_dim: 128
2023-08-10 08:45: encoder_normalize_before: False
2023-08-10 08:45: epoch: 300
2023-08-10 08:45: gnn_hidden_dim: 128
2023-08-10 08:45: gw_ratio: 0.3
2023-08-10 08:45: init_memory: False
2023-08-10 08:45: log_dir: 'experiments_rebuttal'
2023-08-10 08:45: log_step: 20
2023-08-10 08:45: lr: 0.001
2023-08-10 08:45: mem_slots: 64
2023-08-10 08:45: mode: 'train'
2023-08-10 08:45: model: 'GCN_GW'
2023-08-10 08:45: node2vec_emb_dim: 128
2023-08-10 08:45: null_attention: False
2023-08-10 08:45: num_layers: 2
2023-08-10 08:45: num_parts: 1
2023-08-10 08:45: num_steps: 3
2023-08-10 08:45: regressive: False
2023-08-10 08:45: seed: 3326
2023-08-10 08:45: self_attention: True
2023-08-10 08:45: shared_memory_attention: True
2023-08-10 08:45: shared_memory_percentage: 0.3
2023-08-10 08:45: test_ratio: 0.2
2023-08-10 08:45: topk: 3
2023-08-10 08:45: topk_ratio: 1.0
2023-08-10 08:45: train_ratio: 0.6
2023-08-10 08:45: use_nfm: False
2023-08-10 08:45: use_topk: False
2023-08-10 08:45: valid_ratio: 0.2
2023-08-10 08:46: epoch:9/300 loss: 1.5421228408813477
2023-08-10 08:46: test acc: 0.6434023976325989
2023-08-10 08:47: epoch:19/300 loss: 0.9431750178337097
2023-08-10 08:47: test acc: 0.7699018716812134
2023-08-10 08:48: epoch:29/300 loss: 0.6051749587059021
2023-08-10 08:48: test acc: 0.852780818939209
2023-08-10 08:48: epoch:39/300 loss: 0.4400029480457306
2023-08-10 08:48: test acc: 0.8865867257118225
2023-08-10 08:49: epoch:49/300 loss: 0.3916464149951935
2023-08-10 08:49: test acc: 0.88186115026474
2023-08-10 08:49: epoch:59/300 loss: 0.35453054308891296
2023-08-10 08:49: test acc: 0.8876772522926331
2023-08-10 08:50: epoch:69/300 loss: 0.3135589063167572
2023-08-10 08:50: test acc: 0.9029444456100464
2023-08-10 08:51: epoch:79/300 loss: 0.28170278668403625
2023-08-10 08:51: test acc: 0.9098510146141052
2023-08-10 08:51: epoch:89/300 loss: 0.2584163546562195
2023-08-10 08:51: test acc: 0.9174845814704895
2023-08-10 08:52: epoch:99/300 loss: 0.24551808834075928
2023-08-10 08:52: test acc: 0.922210156917572
2023-08-10 08:52: epoch:109/300 loss: 0.2703438401222229
2023-08-10 08:52: test acc: 0.910941481590271
2023-08-10 08:53: epoch:119/300 loss: 0.23953144252300262
2023-08-10 08:53: test acc: 0.9171210527420044
2023-08-10 08:54: epoch:129/300 loss: 0.2269454300403595
2023-08-10 08:54: test acc: 0.9225736260414124
2023-08-10 08:54: epoch:139/300 loss: 0.21958336234092712
2023-08-10 08:54: test acc: 0.9287531971931458
2023-08-10 08:55: epoch:149/300 loss: 0.21756337583065033
2023-08-10 08:55: test acc: 0.922210156917572
2023-08-10 08:55: epoch:159/300 loss: 0.20931757986545563
2023-08-10 08:55: test acc: 0.924027681350708
2023-08-10 08:56: epoch:169/300 loss: 0.20847195386886597
2023-08-10 08:56: test acc: 0.92766273021698
2023-08-10 08:57: epoch:179/300 loss: 0.19497786462306976
2023-08-10 08:57: test acc: 0.9251181483268738
2023-08-10 08:57: epoch:189/300 loss: 0.19583667814731598
2023-08-10 08:57: test acc: 0.9174845814704895
2023-08-10 08:58: epoch:199/300 loss: 0.19082830846309662
2023-08-10 08:58: test acc: 0.9229371547698975
2023-08-10 08:59: epoch:209/300 loss: 0.17921368777751923
2023-08-10 08:59: test acc: 0.9251181483268738
2023-08-10 08:59: epoch:219/300 loss: 0.32905474305152893
2023-08-10 08:59: test acc: 0.9040349125862122
2023-08-10 09:00: epoch:229/300 loss: 0.2622571289539337
2023-08-10 09:00: test acc: 0.9094874858856201
2023-08-10 09:01: epoch:239/300 loss: 0.22418372333049774
2023-08-10 09:01: test acc: 0.9167575836181641
2023-08-10 09:01: epoch:249/300 loss: 0.2040150761604309
2023-08-10 09:01: test acc: 0.9283897280693054
2023-08-10 09:02: epoch:259/300 loss: 0.19175514578819275
2023-08-10 09:02: test acc: 0.9265722036361694
2023-08-10 09:02: epoch:269/300 loss: 0.18383415043354034
2023-08-10 09:02: test acc: 0.9323882460594177
2023-08-10 09:03: epoch:279/300 loss: 0.1781311184167862
2023-08-10 09:03: test acc: 0.9309342503547668
2023-08-10 09:04: epoch:289/300 loss: 0.17705683410167694
2023-08-10 09:04: test acc: 0.9287531971931458
2023-08-10 09:04: epoch:299/300 loss: 0.17326420545578003
2023-08-10 09:04: test acc: 0.9262086749076843
2023-08-10 09:04: best_test_acc: 0.9323882460594177
2023-08-10 09:04: best epoch: 0
2023-08-10 09:04: []
2023-08-10 09:04: []
2023-08-10 09:04: overall accuraccy: 
2023-08-10 09:04: 0.9262086749076843
