2023-08-10 10:44: attention_dropout: 0.5
2023-08-10 10:44: batch_size: 1
2023-08-10 10:44: cuda: True
2023-08-10 10:44: dataset: 'Photo'
2023-08-10 10:44: debug: False
2023-08-10 10:44: device: 'cuda:2'
2023-08-10 10:44: dropout: 0.5
2023-08-10 10:44: encoder_attention_heads: 8
2023-08-10 10:44: encoder_embed_dim: 128
2023-08-10 10:44: encoder_ffn_embed_dim: 128
2023-08-10 10:44: encoder_normalize_before: False
2023-08-10 10:44: epoch: 300
2023-08-10 10:44: gnn_hidden_dim: 128
2023-08-10 10:44: gw_ratio: 0.3
2023-08-10 10:44: init_memory: False
2023-08-10 10:44: log_dir: 'experiments_rebuttal'
2023-08-10 10:44: log_step: 20
2023-08-10 10:44: lr: 0.001
2023-08-10 10:44: mem_slots: 64
2023-08-10 10:44: mode: 'train'
2023-08-10 10:44: model: 'GCN_GW'
2023-08-10 10:44: node2vec_emb_dim: 32
2023-08-10 10:44: null_attention: False
2023-08-10 10:44: num_layers: 2
2023-08-10 10:44: num_parts: 1
2023-08-10 10:44: num_steps: 3
2023-08-10 10:44: regressive: False
2023-08-10 10:44: seed: 3326
2023-08-10 10:44: self_attention: True
2023-08-10 10:44: shared_memory_attention: True
2023-08-10 10:44: test_ratio: 0.2
2023-08-10 10:44: topk: 3
2023-08-10 10:44: topk_ratio: 1.0
2023-08-10 10:44: train_ratio: 0.6
2023-08-10 10:44: use_nfm: False
2023-08-10 10:44: use_topk: False
2023-08-10 10:44: valid_ratio: 0.2
2023-08-10 10:45: epoch:9/300 loss: 1.4702616930007935
2023-08-10 10:45: test acc: 0.6686274409294128
2023-08-10 10:45: epoch:19/300 loss: 0.7864053845405579
2023-08-10 10:45: test acc: 0.8633987307548523
2023-08-10 10:46: epoch:29/300 loss: 0.39260995388031006
2023-08-10 10:46: test acc: 0.9274510145187378
2023-08-10 10:46: epoch:39/300 loss: 0.2614755928516388
2023-08-10 10:46: test acc: 0.9352941513061523
2023-08-10 10:47: epoch:49/300 loss: 0.21215908229351044
2023-08-10 10:47: test acc: 0.9398692846298218
2023-08-10 10:47: epoch:59/300 loss: 0.18550781905651093
2023-08-10 10:47: test acc: 0.9464052319526672
2023-08-10 10:48: epoch:69/300 loss: 0.16892674565315247
2023-08-10 10:48: test acc: 0.9464052319526672
2023-08-10 10:49: epoch:79/300 loss: 0.14877113699913025
2023-08-10 10:49: test acc: 0.9496732354164124
2023-08-10 10:49: epoch:89/300 loss: 0.13712382316589355
2023-08-10 10:49: test acc: 0.9562091827392578
2023-08-10 10:50: epoch:99/300 loss: 0.12603871524333954
2023-08-10 10:50: test acc: 0.9516339898109436
2023-08-10 10:50: epoch:109/300 loss: 0.11756782978773117
2023-08-10 10:50: test acc: 0.9535948038101196
2023-08-10 10:51: epoch:119/300 loss: 0.1181342750787735
2023-08-10 10:51: test acc: 0.9483660459518433
2023-08-10 10:52: epoch:129/300 loss: 0.14543934166431427
2023-08-10 10:52: test acc: 0.9352941513061523
2023-08-10 10:52: epoch:139/300 loss: 0.3366159498691559
2023-08-10 10:52: test acc: 0.9248366355895996
2023-08-10 10:53: epoch:149/300 loss: 0.2172037661075592
2023-08-10 10:53: test acc: 0.943790853023529
2023-08-10 10:53: epoch:159/300 loss: 0.19840964674949646
2023-08-10 10:53: test acc: 0.9477124214172363
2023-08-10 10:54: epoch:169/300 loss: 0.16086094081401825
2023-08-10 10:54: test acc: 0.9496732354164124
2023-08-10 10:55: epoch:179/300 loss: 0.14354382455348969
2023-08-10 10:55: test acc: 0.9542483687400818
2023-08-10 10:55: epoch:189/300 loss: 0.13258029520511627
2023-08-10 10:55: test acc: 0.9562091827392578
2023-08-10 10:56: epoch:199/300 loss: 0.1250470131635666
2023-08-10 10:56: test acc: 0.9555555582046509
2023-08-10 10:56: epoch:209/300 loss: 0.12058266252279282
2023-08-10 10:56: test acc: 0.9575163722038269
2023-08-10 10:57: epoch:219/300 loss: 0.1172008141875267
2023-08-10 10:57: test acc: 0.9529411792755127
2023-08-10 10:57: epoch:229/300 loss: 0.11298494040966034
2023-08-10 10:57: test acc: 0.9535948038101196
2023-08-10 10:58: epoch:239/300 loss: 0.10635200887918472
2023-08-10 10:58: test acc: 0.9529411792755127
2023-08-10 10:58: epoch:249/300 loss: 0.0989510640501976
2023-08-10 10:58: test acc: 0.9516339898109436
2023-08-10 10:59: epoch:259/300 loss: 0.10156756639480591
2023-08-10 10:59: test acc: 0.944444477558136
2023-08-10 10:59: epoch:269/300 loss: 0.09716065227985382
2023-08-10 10:59: test acc: 0.9542483687400818
2023-08-10 11:00: epoch:279/300 loss: 0.0952976644039154
2023-08-10 11:00: test acc: 0.9535948038101196
2023-08-10 11:00: epoch:289/300 loss: 0.09021299332380295
2023-08-10 11:00: test acc: 0.9546732354164124
2023-08-10 11:01: epoch:299/300 loss: 0.09160567820072174
2023-08-10 11:01: test acc: 0.9541588564872742
2023-08-10 11:01: best_test_acc: 0.9575163722038269
2023-08-10 11:01: best epoch: 0
2023-08-10 11:01: []
2023-08-10 11:01: []
2023-08-10 11:01: overall accuraccy: 
2023-08-10 11:01: 0.9541588564872742
