2023-09-28 17:06: attention_dropout: 0.3
2023-09-28 17:06: batch_size: 128
2023-09-28 17:06: cuda: True
2023-09-28 17:06: dataset: 'ogbn-products'
2023-09-28 17:06: debug: False
2023-09-28 17:06: device: 'cuda:2'
2023-09-28 17:06: dropout: 0.5
2023-09-28 17:06: encoder_attention_heads: 8
2023-09-28 17:06: encoder_embed_dim: 512
2023-09-28 17:06: encoder_ffn_embed_dim: 256
2023-09-28 17:06: encoder_normalize_before: False
2023-09-28 17:06: epoch: 1000
2023-09-28 17:06: gnn_hidden_dim: 512
2023-09-28 17:06: gw_ratio: 0.3
2023-09-28 17:06: init_memory: False
2023-09-28 17:06: log_dir: 'experiments_rebuttal'
2023-09-28 17:06: log_step: 20
2023-09-28 17:06: lr: 0.001
2023-09-28 17:06: mem_slots: 16
2023-09-28 17:06: mode: 'train'
2023-09-28 17:06: model: 'GCN_GW'
2023-09-28 17:06: node2vec_emb_dim: 128
2023-09-28 17:06: null_attention: False
2023-09-28 17:06: num_layers: 2
2023-09-28 17:06: num_parts: 15000
2023-09-28 17:06: num_steps: 3
2023-09-28 17:06: regressive: False
2023-09-28 17:06: seed: 1
2023-09-28 17:06: self_attention: True
2023-09-28 17:06: shared_memory_attention: True
2023-09-28 17:06: test_ratio: 0.2
2023-09-28 17:06: topk: 3
2023-09-28 17:06: topk_ratio: 1.0
2023-09-28 17:06: train_ratio: 0.6
2023-09-28 17:06: use_nfm: False
2023-09-28 17:06: use_topk: False
2023-09-28 17:06: valid_ratio: 0.2
2023-09-28 17:12: epoch:9/1000 loss: 0.45232769809845247
2023-09-28 17:12: test acc: 0.885750949382782
2023-09-28 17:19: epoch:19/1000 loss: 0.40894957325323283
2023-09-28 17:19: test acc: 0.8895279169082642
2023-09-28 17:26: epoch:29/1000 loss: 0.38799019831827175
2023-09-28 17:26: test acc: 0.8909100890159607
2023-09-28 17:33: epoch:39/1000 loss: 0.3759548161854653
2023-09-28 17:33: test acc: 0.8920779228210449
2023-09-28 17:39: epoch:49/1000 loss: 0.36452890494658097
2023-09-28 17:39: test acc: 0.8924923539161682
2023-09-28 17:46: epoch:59/1000 loss: 0.35888305440470514
2023-09-28 17:46: test acc: 0.8924576640129089
2023-09-28 17:53: epoch:69/1000 loss: 0.3515848035312407
2023-09-28 17:53: test acc: 0.8926332592964172
2023-09-28 18:00: epoch:79/1000 loss: 0.3482755327800213
2023-09-28 18:00: test acc: 0.8928680419921875
2023-09-28 18:07: epoch:89/1000 loss: 0.3457382897584663
2023-09-28 18:07: test acc: 0.8930864930152893
2023-09-28 18:13: epoch:99/1000 loss: 0.34265405260545
2023-09-28 18:13: test acc: 0.8928802609443665
2023-09-28 18:20: epoch:109/1000 loss: 0.33894684204069436
2023-09-28 18:20: test acc: 0.892816960811615
2023-09-28 18:27: epoch:119/1000 loss: 0.33647485614624956
2023-09-28 18:27: test acc: 0.8926475048065186
2023-09-28 18:34: epoch:129/1000 loss: 0.3334649282515704
2023-09-28 18:34: test acc: 0.8935090899467468
2023-09-28 18:41: epoch:139/1000 loss: 0.3330262204745412
2023-09-28 18:41: test acc: 0.8928659558296204
2023-09-28 18:48: epoch:149/1000 loss: 0.33017366213542637
2023-09-28 18:48: test acc: 0.8926414251327515
